"address","year","b_result","bTowers","rTowers","outer_mean_diff","golddiff_mean","air_dragon","baron_nashor","earth_dragon","rift_herald","fire_dragon","elder_dragon","water_dragon","dragon","bKills","rKills","diff"
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001200084?gameHash=e596d3cf80559d62",2016,"win",21.6743333333333,20.8433333333333,0.831,500.522727272727,1,1,0,0,0,1,1,0,18,7,11
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001200086?gameHash=5bb5510c63aee55d",2016,"win",19.4446666666667,NA,NA,4816.26666666667,0,1,2,0,0,0,0,0,24,6,18
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001200088?gameHash=69993f857e80f8a4",2016,"lose",16.014,13.2636666666667,2.75033333333333,-2069.39393939394,0,1,1,0,1,0,0,0,11,17,-6
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001200090?gameHash=74b82dd07aa67965",2016,"lose",20.7233333333333,17.4753333333333,3.248,-4097.47058823529,0,1,0,0,0,0,0,0,6,17,-11
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001210091?gameHash=14bd6ca4ffeb776b",2016,"win",13.6023333333333,12.2916666666667,1.31066666666667,432.304347826087,0,0,0,0,1,0,0,0,14,16,-2
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001210092?gameHash=cdf3a55482b1ea42",2016,"win",10.295,7.51333333333333,2.78166666666667,2130.6,0,1,2,0,0,0,0,0,17,2,15
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001210093?gameHash=1bb0a5d589989637",2016,"lose",17.0525,15.9526666666667,1.09983333333333,-2204.70588235294,1,0,1,0,0,0,0,0,3,16,-13
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TRNA1/1001210094?gameHash=4d5ed984b76e1611",2016,"win",22.6323333333333,19.255,3.37733333333333,600.972972972973,2,0,0,0,1,0,0,0,20,9,11
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001350110?gameHash=dae9aaf45cdb9c72",2016,"lose",14.0845,19.6253333333333,-5.54083333333333,-4200.8125,NA,NA,NA,NA,NA,NA,NA,NA,6,21,-15
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001340143?gameHash=c4fd427123180e43",2016,"lose",24.4686666666667,18.6793333333333,5.78933333333334,-1165.33333333333,NA,NA,NA,NA,NA,NA,NA,NA,12,11,1
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001340144?gameHash=8b7c0991a645d596",2016,"win",15.0785,13.7535,1.325,124.148148148148,1,1,0,0,0,0,1,0,20,10,10
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001340145?gameHash=d955322d52911a92",2016,"win",19.5936666666667,15.7765,3.81716666666667,-721.977272727273,1,1,0,0,0,1,1,0,12,5,7
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001340147?gameHash=6a9118d73e12b715",2016,"lose",19.213,16.308,2.905,-3268.55882352941,NA,NA,NA,NA,NA,NA,NA,NA,13,16,-3
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001340160?gameHash=0d2f16c5b5f60832",2016,"win",14.8126666666667,18.837,-4.02433333333333,2903.02857142857,1,0,0,1,1,0,2,0,16,16,0
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001340161?gameHash=ea41edfe5cd8a0a2",2016,"win",16.2463333333333,19.137,-2.89066666666667,3611.37142857143,2,1,0,0,1,0,1,0,17,8,9
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001350139?gameHash=02b03bc5b724734e",2016,"win",18.3106666666667,NA,NA,2116.65384615385,0,1,0,0,2,0,0,0,18,4,14
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001340175?gameHash=cdd75d4a7e5e3e30",2016,"lose",19.9853333333333,26.1856666666667,-6.20033333333333,-1730.41025641026,NA,NA,NA,NA,NA,NA,NA,NA,6,20,-14
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001340177?gameHash=8727f98b583d6ebe",2016,"lose",16.6755,18.8223333333333,-2.14683333333333,-475.290322580645,0,0,0,1,0,0,1,0,9,10,-1
"http://matchhistory.na.leagueoflegends.com/en/#match-details/TREU/1001340178?gameHash=9793cf38a1435a0e",2016,"win",16.534,14.3275,2.2065,1527.53571428571,0,1,0,1,1,0,1,0,17,7,10
